,training_data,training_labels,testing_data,testing_labels
309,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0029_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0029_0.png,,
310,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0103_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0103_0.png,,
311,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0237_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0237_0.png,,
312,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0467_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0467_1.png,,
313,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN033.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN033.png,,
314,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN007.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN007.png,,
315,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0266_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0266_0.png,,
316,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0085_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0085_0.png,,
317,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN066.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN066.png,,
318,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0583_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0583_1.png,,
319,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0020_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0020_0.png,,
320,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN077.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN077.png,,
321,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0027_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0027_0.png,,
322,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0150_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0150_1.png,,
323,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0176_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0176_0.png,,
324,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0300_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0300_0.png,,
325,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0418_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0418_1.png,,
326,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0147_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0147_0.png,,
327,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN133.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN133.png,,
328,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0423_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0423_1.png,,
329,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0243_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0243_1.png,,
330,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0203_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0203_1.png,,
331,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0101_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0101_0.png,,
332,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0365_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0365_1.png,,
333,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0263_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0263_0.png,,
334,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0441_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0441_1.png,,
335,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0003_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0003_0.png,,
336,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0027_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0027_0.png,,
337,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN038.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN038.png,,
338,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0617_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0617_1.png,,
339,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0158_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0158_0.png,,
340,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0372_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0372_1.png,,
341,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0587_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0587_1.png,,
342,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0310_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0310_0.png,,
343,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0082_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0082_0.png,,
344,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0407_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0407_1.png,,
345,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0311_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0311_0.png,,
346,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0369_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0369_1.png,,
347,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0281_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0281_0.png,,
348,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN023.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN023.png,,
349,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0052_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0052_0.png,,
350,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN083.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN083.png,,
351,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0195_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0195_1.png,,
352,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0601_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0601_1.png,,
353,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0602_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0602_1.png,,
354,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN010.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN010.png,,
355,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0224_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0224_0.png,,
356,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0274_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0274_0.png,,
357,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0264_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0264_0.png,,
358,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0255_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0255_0.png,,
359,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0180_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0180_0.png,,
360,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0064_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0064_0.png,,
361,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN044.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN044.png,,
362,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0061_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0061_0.png,,
363,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN018.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN018.png,,
364,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0218_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0218_1.png,,
365,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN097.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN097.png,,
366,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0016_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0016_0.png,,
367,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN015.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN015.png,,
368,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0334_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0334_1.png,,
369,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0059_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0059_0.png,,
370,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0329_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0329_1.png,,
371,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0544_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0544_1.png,,
372,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0524_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0524_1.png,,
373,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN039.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN039.png,,
374,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN041.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN041.png,,
375,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0131_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0131_0.png,,
376,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN046.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN046.png,,
377,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0280_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0280_0.png,,
378,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0034_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0034_0.png,,
379,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0142_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0142_0.png,,
380,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0549_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0549_1.png,,
381,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0043_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0043_0.png,,
382,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN005.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN005.png,,
383,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0284_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0284_0.png,,
384,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0569_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0569_1.png,,
385,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0605_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0605_1.png,,
386,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN017.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN017.png,,
387,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0557_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0557_1.png,,
388,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN117.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN117.png,,
389,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0447_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0447_1.png,,
390,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0405_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0405_1.png,,
391,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0124_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0124_0.png,,
392,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0268_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0268_0.png,,
393,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0029_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0029_0.png,,
394,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0018_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0018_0.png,,
395,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0119_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0119_0.png,,
396,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN062.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN062.png,,
397,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0338_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0338_1.png,,
398,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0362_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0362_1.png,,
399,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN027.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN027.png,,
400,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0480_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0480_1.png,,
401,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0533_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0533_1.png,,
402,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0258_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0258_1.png,,
403,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0254_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0254_1.png,,
404,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0532_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0532_1.png,,
405,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0473_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0473_1.png,,
406,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0440_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0440_1.png,,
407,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0307_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0307_0.png,,
408,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0089_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0089_0.png,,
409,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0331_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0331_1.png,,
410,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN104.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN104.png,,
411,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN098.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN098.png,,
412,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0631_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0631_1.png,,
413,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0057_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0057_0.png,,
414,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0416_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0416_1.png,,
415,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0437_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0437_1.png,,
416,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN086.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN086.png,,
417,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN147.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN147.png,,
418,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0509_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0509_1.png,,
419,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0085_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0085_0.png,,
420,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0410_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0410_1.png,,
421,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN134.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN134.png,,
422,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0041_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0041_0.png,,
423,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0091_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0091_0.png,,
424,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0081_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0081_0.png,,
425,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0083_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0083_0.png,,
426,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0501_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0501_1.png,,
427,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0116_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0116_0.png,,
428,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN015.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN015.png,,
429,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN002.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN002.png,,
430,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0159_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0159_0.png,,
431,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0096_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0096_0.png,,
432,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0016_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0016_0.png,,
433,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0008_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0008_0.png,,
434,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0646_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0646_1.png,,
435,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0552_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0552_1.png,,
